survey_date,district,gvh,health_facility,sanitation_observed,sanitation_type,pit_cover_or_seal,sanitation_near_water,sanitation_distance,has_privacy,has_security,has_roof,shared_sanitation,child_faeces_disposal,child_faeces_disposal_other,usual_defecation_place,faeces_seen_in_village,faeces_around_house,handwash_near_sanitation,handwash_has_water,handwash_has_soap,handwash_in_use,mhm_materials_used,mhm_cleaned,mhm_cleaning_method,mhm_drying_method,mhm_disposal_place,has_bathroom,bathing_has_water,bathing_water_source,bathroom_has_soap,bathroom_in_use,bathroom_has_privacy,bathroom_has_security
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,Yes,Pit latrine (without concrete slab),No,No,More than 30 paces,Yes,No,No,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water only,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,Yes,Yes,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,No,NA,NA,NA,NA,NA,NA
6/28/2019,Dowa,Njole,Chizolowondo Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,Yes,Yes,No,No,No,No,Reusable cloth or rags,Yes,Water only,Somewhere inside,NA,No,NA,NA,NA,NA,NA,NA
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,Yes,Yes,No,No,No,No,Reusable cloth or rags,Yes,Water only,Somewhere inside,NA,No,NA,NA,NA,NA,NA,NA
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,Yes,Yes,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,No,NA,NA,NA,NA,NA,NA
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,No,NA,NA,NA,NA,NA,NA
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,Yes,Pit latrine (without concrete slab),No,No,More than 30 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,Yes,Yes,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
6/29/2019,Dowa,Njati,Chizolowondo Health Centre,Yes,Pit latrine (with slab),No,No,More than 30 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
7/4/2019,Dowa,Mbuta,Kayembe Health Centre,Yes,Eco toilets,No,Yes,More than 30 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
7/4/2019,Dowa,Mbuta,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Don't know/refuse to answer,NA,Share latrine with neighbours,Yes,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
7/4/2019,Dowa,Chimbalu,Kayembe Health Centre,Yes,Eco toilets,Yes,Yes,Between 10 and 20 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,No,NA,NA,NA,NA,NA,NA
7/4/2019,Dowa,Baloni,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,More than 30 paces,No,No,No,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,No,NA,NA,NA,No,No
7/4/2019,Dowa,Mbuta,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,School,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,Burned,No,NA,NA,NA,NA,NA,NA
7/4/2019,Dowa,Chimbalu,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,School,No,Yes,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/4/2019,Dowa,Baloni,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,No,Yes,No,Other,NA,NA,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
7/4/2019,Dowa,Katontha,Kayembe Health Centre,Yes,Eco toilets,No,Yes,Between 20 and 30 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,No,Yes,Yes,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,No,NA,NA,NA,NA,NA,NA
7/4/2019,Dowa,Katontha,Kayembe Health Centre,Yes,Eco toilets,No,Yes,More than 30 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA
7/4/2019,Dowa,Katontha 1,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,No,Yes,No,Other,NA,NA,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,No
7/3/2019,Dowa,Chideza ,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Between 10 and 20 paces,No,No,Yes,Yes,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,Yes,Borehole,No,Yes,No,No
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 10 and 20 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,Yes,Borehole,Yes,Yes,No,No
7/3/2019,Dowa,Alimu,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Less than 10 paces,No,No,No,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,No,No
7/2/2019,Dowa,Alimu,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Between 20 and 30 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,Yes,Yes,Yes,Yes,Don't know/refuse to answer,NA,NA,NA,NA,Yes,No,NA,NA,NA,No,No
7/4/2019,Dowa,Chideza,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Outside unburied ,NA,School,Yes,Yes,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,No,NA,NA,NA,No,No
7/4/2019,Dowa,Chideza ,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Outside unburied ,NA,School,Yes,Yes,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,No,NA,NA,NA,No,No
7/4/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,No,More than 30 paces,No,No,Yes,Yes,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,No,NA,NA,NA,No,No
7/4/2019,Dowa,Chideza,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Market,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,Yes,Borehole,No,No,No,No
7/3/2019,Dowa,Alimu,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,No,NA,NA,NA,No,No
7/4/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,No,Less than 10 paces,No,No,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,No,NA,NA,NA,No,No
6/28/2019,Dowa,Chinganyama,Kayembe Health Centre,Yes,Pit latrine (with slab),Yes,Yes,Less than 10 paces,Yes,Yes,Yes,No,Other,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Borehole,No,No,No,No
6/28/2019,Dowa,Chinganyama,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,No,Yes,No,Other,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
6/28/2019,Dowa,Chinganyama ,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Between 20 and 30 paces,Yes,No,Yes,No,Other,NA,NA,No,No,Yes,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
6/28/2019,Dowa,Chinganyama ,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Outside unburied ,NA,Share latrine with neighbours,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,Yes
6/29/2019,Dowa,Chinganyama ,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Less than 10 paces,Yes,No,Yes,No,Other,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,No,Yes,Yes,No
6/28/2019,Dowa,Chinganyama ,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,NA,No,Yes,No,Other,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,No,NA,NA,NA,NA,NA,NA
7/29/2019,Dowa,Chinganyama ,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/29/2019,Dowa,Chinga9,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Unprotected spring/surface water/dug well,No,Yes,Yes,No
6/29/2019,Dowa,Chinganyama ,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,No,No,No,No,In a toilet/latrine,NA,NA,No,No,Yes,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Unprotected spring/surface water/dug well,NA,No,Yes,Yes
6/29/2019,Dowa,Chinganyama,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Less than 10 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
6/29/2019,Dowa,Chinganyama,Kayembe Health Centre,Yes,Pit latrine (with slab),No,Yes,Between 20 and 30 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
6/28/2019,Dowa,Chinganyama,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Other,Neighbours ,Share latrine with neighbours,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,NA,NA,Yes,Yes,Unprotected spring/surface water/dug well,No,Yes,Yes,No
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 10 and 20 paces,Yes,Yes,Yes,Yes,Outside buried ,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,Yes
6/3/2019,Dowa,Chimkoko,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,More than 30 paces,Yes,Yes,No,Yes,In a toilet/latrine,NA,NA,No,No,No,NA,No,No,Reusable cloth or rags,Yes,Water and soap,Out in the open air,NA,Yes,Yes,Borehole,Yes,No,Yes,Yes
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,More than 30 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,No,NA,NA,NA,NA,NA,NA
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,No,More than 30 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,No,Between 10 and 20 paces,Yes,Yes,Yes,No,Other,NA,NA,No,No,Yes,Yes,No,Yes,Reusable cloth or rags,No,NA,NA,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,No,Between 10 and 20 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,More than 30 paces,Yes,Yes,Yes,No,Other,NA,NA,No,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Between 20 and 30 paces,Yes,Yes,Yes,No,Other,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chimkoko,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,More than 30 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chideza,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Between 10 and 20 paces,Yes,Yes,Yes,Yes,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Mboko,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 10 and 20 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,No
7/3/2019,Dowa,Khungwa,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,More than 30 paces,Yes,Yes,NA,Yes,Other,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Khungwa,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Outside buried ,NA,Share latrine with neighbours,Yes,Yes,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,No,No
7/1/2019,Dowa,Mbachundu,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,In a toilet/latrine,NA,Share latrine with neighbours,Yes,No,No,No,No,Yes,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/7/2019,Dowa,Khungwa,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Outside buried ,NA,Share latrine with neighbours,Yes,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Borehole,Yes,Yes,No,No
7/1/2019,Dowa,Khungwa,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,No,No
7/1/2019,Dowa,Mbachundu,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Less than 10 paces,Yes,No,Yes,No,Outside unburied ,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/7/2019,Dowa,Khungwa,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Less than 10 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Unprotected spring/surface water/dug well,Yes,Yes,Yes,No
7/1/2019,Dowa,Khungwa,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,No
7/1/2019,Dowa,Mphinda,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,More than 30 paces,Yes,No,Yes,Yes,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,No
7/1/2019,Dowa,Mphinda,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,More than 30 paces,Yes,No,Yes,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Protected dug well/spring or rainwater,Yes,Yes,Yes,No
7/3/2019,Dowa,Katontha,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,Share latrine with neighbours,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Katontha,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Outside unburied ,NA,Share latrine with neighbours,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,No,Yes,Yes,Yes
7/3/2019,Dowa,Katontha2,Kayembe Health Centre,Yes,Pit latrine (with slab),No,Yes,Between 10 and 20 paces,Yes,Yes,Yes,Yes,In a toilet/latrine,NA,NA,Yes,Yes,No,No,No,No,"Reusable cloth or rags, Disposable (tampons or pads)",Yes,Water and soap,Somewhere inside,In the toiler/latrine,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Dzidzi one,Kayembe Health Centre,Yes,Pit latrine (with slab),Yes,Yes,Between 10 and 20 paces,Yes,Yes,Yes,No,In a toilet/latrine,NA,NA,No,No,No,No,No,No,"Reusable cloth or rags, Disposable (tampons or pads)",Yes,Water and soap,Somewhere inside,In the toiler/latrine,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Dzidzi 2,Kayembe Health Centre,Yes,Pit latrine (with slab),No,Yes,Between 10 and 20 paces,Yes,Yes,Yes,Yes,Outside unburied ,NA,NA,No,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chapita,Kayembe Health Centre,Yes,Pit latrine (with slab),No,Yes,Between 10 and 20 paces,Yes,Yes,Yes,No,Outside unburied ,NA,NA,No,No,No,No,No,No,Disposable (tampons or pads),NA,NA,NA,In the toiler/latrine,No,NA,NA,NA,NA,NA,NA
7/3/2019,Dowa,Katontha 2,Kayembe Health Centre,Yes,Eco toilets,No,Yes,Between 10 and 20 paces,No,No,Yes,No,In a toilet/latrine,NA,NA,Yes,No,No,No,No,No,"Reusable cloth or rags, Disposable (tampons or pads)",Yes,Water and soap,Somewhere inside,In the toiler/latrine,No,NA,NA,NA,NA,NA,NA
7/3/2019,Dowa,Dzidzi 1,Kayembe Health Centre,Yes,Pit latrine (with slab),No,Yes,Less than 10 paces,Yes,Yes,Yes,Yes,Outside unburied ,NA,NA,Yes,No,No,No,No,No,"Disposable (tampons or pads), Reusable cloth or rags",Yes,Water and soap,Somewhere inside,In the toiler/latrine,Yes,Yes,Protected dug well/spring or rainwater,No,No,No,No
7/3/2019,Dowa,Chimbalu,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,Yes,Between 10 and 20 paces,Yes,Yes,Yes,Yes,Outside buried ,NA,NA,Yes,No,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Chapita,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Other,NA,Share latrine with neighbours,Yes,No,No,No,No,No,"Reusable cloth or rags, Disposable (tampons or pads)",Yes,Water and soap,Somewhere inside,In the toiler/latrine,Yes,Yes,Unprotected spring/surface water/dug well,No,Yes,Yes,Yes
7/3/2019,Dowa,Dzidzi 2,Kayembe Health Centre,No,NA,NA,NA,NA,NA,NA,NA,NA,Outside unburied ,NA,Bush,Yes,Yes,No,No,No,No,Reusable cloth or rags,Yes,Water and soap,Somewhere inside,NA,Yes,Yes,Borehole,Yes,Yes,Yes,Yes
7/3/2019,Dowa,Suntche,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),No,Yes,Between 20 and 30 paces,No,Yes,Yes,No,Other,NA,NA,Yes,No,Yes,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,No,NA,NA,NA,No,Yes
7/3/2019,Dowa,Nthondowachere,Kayembe Health Centre,Yes,Pit latrine (without concrete slab),Yes,NA,Between 10 and 20 paces,No,No,NA,NA,In a toilet/latrine,NA,NA,NA,No,No,No,No,No,Don't know/refuse to answer,NA,NA,NA,NA,Yes,Yes,Borehole,Yes,Yes,No,No
